model_size,batch_size,context_length,dtype,tool,name,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us
medium,1,256,fp32,torch.profiler,attention/softmax,24,0.0,0.0,2454.0179999999964,2454.0179999999964
medium,1,256,fp32,torch.profiler,aten::square,219,4147.892000000371,330.71200000020326,2447.8130000001693,0.0
medium,1,256,fp32,torch.profiler,aten::div,414,6875.011000000154,4527.220000000237,2443.132999999918,2443.132999999918
medium,1,256,fp32,torch.profiler,aten::fill_,514,5040.618999999925,2347.3369999999977,1919.3369999997894,1919.3369999997894
medium,1,256,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",514,0.0,0.0,1919.3369999997894,1919.3369999997894
medium,1,256,fp32,torch.profiler,aten::zero_,465,5872.016000000425,1397.3890000004903,1876.4219999998313,0.0
medium,1,256,fp32,torch.profiler,aten::zeros_like,438,9766.578000000067,1104.5299999995623,1786.4069999997155,0.0
medium,1,256,fp32,torch.profiler,MulBackward0,338,8558.364000000074,1170.211999999694,1776.6619999998657,0.0
medium,1,256,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> >, std::array<char*, 3ul>)",220,0.0,0.0,1708.409999999989,1708.409999999989
medium,1,256,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",388,0.0,0.0,1617.1549999996842,1617.1549999996842
medium,1,256,fp32,torch.profiler,ampere_sgemm_32x128_nt,96,0.0,0.0,1528.0979999998817,1528.0979999998817
